Primary_building_code,Borough_block_lot
Q008,4101780001.0
Q009,4026310106.0
Q010,4007140001.0
Q011,4012390001.0
Q012,4013490028.0
Q013,4019010040.0
Q014,4019540037.0
Q015,4126720001.0
Q017,4005940001.0
Q018,4079550002.0
Q019,4016070001.0
Q020,4050470001.0
Q021,4048030001.0
Q022,4053280001.0
Q023,4049560055.0
Q024,4052010021.0
Q025,4052610001.0
Q026,4071170421.0
Q028,4020030023.0
Q029,4042290014.0
Q030,4124950065.0
Q031,4073160018.0
Q032,4052560001.0
Q033,4107560001.0
Q034,4111510081.0
Q035,4104470007.0
Q036,4124390032.0
Q037,4129930118.0
Q038,4132220001.0
Q040,4121510001.0
Q041,4061210001.0
Q042,4160390014.0
Q043,4158200001.0
Q045,4121040001.0
Q046,4076190001.0
Q047,4153130485.0
Q049,4029900045.0
Q050,4100240012.0
Q051,4093270026.0
Q052,4133530020.0
Q053,4155570025.0
Q054,4092800001.0
Q055,4094770001.0
Q056,4092260057.0
Q058,4028020001.0
Q059,4127230076.0
Q060,4089290058.0
Q061,4018910032.0
Q062,4094100001.0
Q063,4091550025.0
Q064,4090530014.0
Q066,4091830001.0
Q067,4082210012.0
Q068,4035790001.0
Q069,4012880001.0
Q070,4006960014.0
Q071,4034920007.0
Q072,4124950270.0
Q073,4025030031.0
Q074,4077230001.0
Q075,4035490044.0
Q076,4003540001.0
Q079,4046470001.0
Q080,4124950166.0
Q081,4034370001.0
Q082,4096840008.0
Q084,4007940017.0
Q085,4008420031.0
Q086,4097740001.0
Q087,4037820027.0
Q088,4035340012.0
Q089,4015140001.0
Q090,4092040028.0
Q091,4036830001.0
Q093,4034900001.0
Q094,4081350029.0
Q095,4099140001.0
Q096,4116940027.0
Q097,4088550020.0
Q098,4080820285.0
Q099,4033600001.0
Q100,4116230001.0
Q101,4032700001.0
Q102,4028790031.0
Q104,4156930001.0
Q105,4159740003.0
Q106,4158610035.0
Q107,4054460018.0
Q108,4114750011.0
Q109,4106260001.0
Q111,4003630001.0
Q112,4003440001.0
Q113,4038460040.0
Q114,4162570001.0
